Price,Close,High,Low,Open,Volume
Ticker,C,C,C,C,C
Date,,,,,
2015-05-20,41.17351150512695,41.48105629693299,41.068496629111344,41.45855392676986,13954600
2015-05-21,41.136024475097656,41.33105177794805,40.963499552187926,41.02350685251035,11799200
2015-05-22,41.23352813720703,41.503568067472706,41.015995653221765,41.09100547321058,12652000
2015-05-26,40.68594741821289,41.136012049733544,40.51341968597413,41.06850206886133,16564500
2015-05-27,41.158512115478516,41.241024627634474,40.655940067169986,40.76095495120813,13699400
2015-05-28,40.91847610473633,41.12100603019533,40.67094143680259,41.12100603019533,13380900
2015-05-29,40.565940856933594,40.873485771843725,40.40841561841521,40.850980531231436,13841400
2015-06-01,40.84347152709961,41.29353617816841,40.83596882809841,41.01599640539069,18156300
2015-06-02,41.04600143432617,41.27103375961832,40.60343662129374,40.80596657248905,17765400
2015-06-03,41.72859573364258,42.02113800498067,41.2635257449832,41.28603097762213,21240500
2015-06-04,41.50356674194336,42.006138814988084,41.376046618305615,41.59357909534339,18517600
2015-06-05,42.18616485595703,42.44120223255823,41.886119873564674,42.02113982949713,26500400
2015-06-08,41.74360275268555,42.381194804279644,41.74360275268555,42.193667393641235,14961600
2015-06-09,42.006134033203125,42.27617392410424,41.42104951054456,41.683586703675765,15193100
2015-06-10,42.77124786376953,42.91376765141432,42.141155712883744,42.208665688387256,21275600
2015-06-11,42.913780212402344,43.13131273730171,42.70375038777772,42.90628037356936,19187100
2015-06-12,42.8387565612793,42.94377143972057,42.508706530245775,42.763743889934936,13860600
2015-06-15,42.493717193603516,42.71124683981206,42.08865725413955,42.47121195600561,17698400
2015-06-16,42.808753967285156,42.853761572693415,42.276176846438524,42.396194266086226,13563800
2015-06-17,42.41119384765625,42.868761122397906,42.2911764363667,42.808750986032734,17801900
2015-06-18,42.57622528076172,42.66624050493146,41.99114063086552,42.50121545539503,18739300
2015-06-19,42.17865753173828,42.61372242234817,42.13364993088325,42.3886872795137,18840500
2015-06-22,42.71874237060547,42.91376960792896,42.576219715021914,42.65123239202406,13011600
2015-06-23,43.04877853393555,43.23630588622587,42.846248650089166,42.966266041097356,16216100
